MNIST-1617224843,1617224844.852,0.91,0.0115,0.94,0.0102
MNIST-1617224843,1617224844.859,0.93,0.0104,0.94,0.0094
MNIST-1617224843,1617224844.866,0.93,0.0104,0.84,0.0272
MNIST-1617224843,1617224844.873,0.9,0.0107,0.88,0.0235
MNIST-1617224843,1617224844.879,0.93,0.0098,0.88,0.0155
MNIST-1617224843,1617224844.886,0.9,0.0167,0.91,0.0122
MNIST-1617224843,1617224844.892,0.88,0.0192,1.0,0.0006
MNIST-1617224843,1617224844.898,0.94,0.0083,1.0,0.0051
MNIST-1617224843,1617224844.905,0.95,0.0085,0.84,0.0231
MNIST-1617224843,1617224844.912,0.9,0.0144,1.0,0.0039
MNIST-1617224843,1617224844.919,0.96,0.0074,1.0,0.0038
MNIST-1617224843,1617224844.925,0.88,0.0187,0.94,0.0109
MNIST-1617224843,1617224844.931,0.9,0.0149,0.94,0.0099
MNIST-1617224843,1617224844.937,0.94,0.0099,0.97,0.0065
MNIST-1617224843,1617224844.943,0.91,0.0137,0.94,0.01
MNIST-1617224843,1617224844.95,0.9,0.0135,0.91,0.0174
MNIST-1617224843,1617224844.956,0.9,0.0138,0.97,0.0074
MNIST-1617224843,1617224844.962,0.95,0.0086,0.97,0.0061
MNIST-1617224843,1617224844.971,0.92,0.0114,0.97,0.006
MNIST-1617224843,1617224844.978,0.94,0.0081,0.97,0.0066
MNIST-1617224843,1617224844.985,0.98,0.0054,0.97,0.007
MNIST-1617224843,1617224844.991,0.94,0.0096,1.0,0.0002
MNIST-1617224843,1617224844.998,0.9,0.0177,1.0,0.0042
MNIST-1617224843,1617224845.004,0.94,0.0097,0.97,0.0088
MNIST-1617224843,1617224845.011,0.92,0.0102,1.0,0.0021
MNIST-1617224843,1617224845.017,0.96,0.0055,0.97,0.0048
MNIST-1617224843,1617224845.023,0.91,0.0106,0.91,0.011
MNIST-1617224843,1617224845.028,0.97,0.0073,0.97,0.0061
MNIST-1617224843,1617224845.034,0.93,0.0104,0.91,0.0148
